Asset,asset_name,Asset_Class,ExAnte_Prudent,ExAnte_Central,ExAnte_Optimistic,Historical_Raw_Comparative,APT_Prudent,APT_Central,APT_Optimistic,mu_apt_raw,mu_apt_prudent,mu_apt_central,mu_apt_optimistic,mu_DCF_BuildingBlocks,mu_Factor,mu_Historical_Shrunk,w_DCF,w_Factor,w_Hist,mu_historical_raw,mu_historical_geometric,Jensen_Gap_Arithmetic_vs_Geometric,mu_expected_reference,bound_saturated,quality_flags
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,0.08537371442915205,0.10671714303644006,0.12806057164372808,0.10766276917651349,0.08537371442915205,0.10671714303644006,0.12806057164372808,0.11134100430647294,0.08537371442915205,0.10671714303644006,0.12806057164372808,0.1039350758060686,0.11134100430647294,0.11358215902747354,0.7,0.05,0.25,0.10766276917651349,0.11362644958202539,-0.005963680405511901,0.10671714303644006,NONE,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,0.08668086473752727,0.1083510809219091,0.1300212971062909,0.12393212590607977,0.08668086473752727,0.1083510809219091,0.1300212971062909,0.11042959446398061,0.08668086473752727,0.1083510809219091,0.1300212971062909,0.1039350758060686,0.11042959446398061,0.12030019253784816,0.7,0.05,0.25,0.12393212590607977,0.13172481924285595,-0.00779269333677618,0.1083510809219091,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_PD_LGD_NOT_MODELED
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,0.09459141912119731,0.11823927390149665,0.14188712868179598,0.11793164957577568,0.09459141912119731,0.11823927390149665,0.14188712868179598,0.11293000497696899,0.09459141912119731,0.11823927390149665,0.14188712868179598,,0.11293000497696899,0.11930112768640216,0.0,0.16666666666666669,0.8333333333333334,0.11793164957577568,0.12506438689988264,-0.007132737324106964,0.11823927390149665,NONE,DATA_MISSING_CASHFLOW;MODEL_LIMITATION_PD_LGD_NOT_MODELED;MODEL_LIMITATION_COMPONENT_REWEIGHTED
AMEN_BANK,AMEN BANK,Actions cotées,0.1213174603664557,0.15164682545806962,0.18197619054968356,0.3333975937654806,0.1213174603664557,0.15164682545806962,0.18197619054968356,0.12705853182258703,0.1213174603664557,0.15164682545806962,0.18197619054968356,,0.12705853182258703,0.25,0.0,0.8,0.2,0.3333975937654806,0.38064865378334356,-0.047251060017862945,0.15164682545806962,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,0.12898240978467482,0.16122801223084351,0.1934736146770122,0.47722994897660825,0.12898240978467482,0.16122801223084351,0.1934736146770122,0.1390350152885544,0.12898240978467482,0.16122801223084351,0.1934736146770122,,0.1390350152885544,0.25,0.0,0.8,0.2,0.47722994897660825,0.5713359881643552,-0.0941060391877469,0.16122801223084351,NONE,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
BIAT,BIAT,Actions cotées,0.12172531222573553,0.1521566402821694,0.1825879683386033,0.17979959055065264,0.12172531222573553,0.1521566402821694,0.1825879683386033,0.12769580035271177,0.12172531222573553,0.1521566402821694,0.1825879683386033,,0.12769580035271177,0.25,0.0,0.8,0.2,0.17979959055065264,0.18694205535720232,-0.007142464806549675,0.1521566402821694,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
BT,BT,Actions cotées,0.14,0.17878285071188182,0.2145394208542582,0.22643042987946435,0.14,0.17878285071188182,0.2145394208542582,0.16097856338985228,0.14,0.17878285071188182,0.2145394208542582,,0.16097856338985228,0.25,0.0,0.8,0.2,0.22643042987946435,0.23933358121662374,-0.012903151337159385,0.17878285071188182,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
CITY_CARS,CITY CARS,Actions cotées,0.1270568672399861,0.15882108404998263,0.19058530085997916,0.4286702208906534,0.1270568672399861,0.15882108404998263,0.19058530085997916,0.1360263550624783,0.1270568672399861,0.15882108404998263,0.19058530085997916,,0.1360263550624783,0.25,0.0,0.8,0.2,0.4286702208906534,0.5094132321397848,-0.08074301124913147,0.15882108404998263,NONE,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
DELICE_HOLDING,DELICE HOLDING,Actions cotées,0.1316561113650117,0.16457013920626462,0.19748416704751753,0.523717440529834,0.1316561113650117,0.16457013920626462,0.19748416704751753,0.14321267400783078,0.1316561113650117,0.16457013920626462,0.19748416704751753,,0.14321267400783078,0.25,0.0,0.8,0.2,0.523717440529834,0.638635854846989,-0.114918414317155,0.16457013920626462,NONE,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
ENNAKL,ENNAKL,Actions cotées,0.07443007806031768,0.09303759757539709,0.1116451170904765,0.38181702073231283,0.07443007806031768,0.09303759757539709,0.1116451170904765,0.05379699696924636,0.07443007806031768,0.09303759757539709,0.1116451170904765,,0.05379699696924636,0.25,0.0,0.8,0.2,0.38181702073231283,0.42241135141046215,-0.040594330678149326,0.09303759757539709,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
PGH,PGH,Actions cotées,0.10764177237995302,0.13455221547494128,0.16146265856992953,0.8133537215834815,0.10764177237995302,0.13455221547494128,0.16146265856992953,0.10569026934367659,0.10764177237995302,0.13455221547494128,0.16146265856992953,,0.10569026934367659,0.25,0.0,0.8,0.2,0.8133537215834815,1.2085089246241694,-0.39515520304068785,0.13455221547494128,NONE,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
