portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
MultiCriteria_Recommended_Portfolio,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683757398890575,Titres de l'État
Current_Portfolio,PGH,Actions cotées,PGH,0.04485895590375774,Actions cotées
Minimum_Variance,PGH,Actions cotées,PGH,0.012551959864676911,Actions cotées
Mean_Variance_lambda_2,PGH,Actions cotées,PGH,0.03882823325301651,Actions cotées
Mean_Variance_lambda_5,PGH,Actions cotées,PGH,0.0388279054642219,Actions cotées
Mean_Variance_lambda_10,PGH,Actions cotées,PGH,0.03882790703450538,Actions cotées
Mean_Variance_lambda_20,PGH,Actions cotées,PGH,0.030249514655523717,Actions cotées
Max_Sharpe,PGH,Actions cotées,PGH,0.013617030074918579,Actions cotées
Max_Return,PGH,Actions cotées,PGH,0.04485895511472091,Actions cotées
Mean_CVaR_95,PGH,Actions cotées,PGH,0.036800944785449693,Actions cotées
Risk_Parity,PGH,Actions cotées,PGH,0.014736011300559211,Actions cotées
MeanVariance_TurnoverPenalty,PGH,Actions cotées,PGH,0.04485895590517355,Actions cotées
MultiCriteria_Recommended_Portfolio,PGH,Actions cotées,PGH,0.036800944785449693,Actions cotées
Current_Portfolio,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384954789740244,Titres de l'État
Minimum_Variance,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04386140427805434,Titres de l'État
Mean_Variance_lambda_2,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384952094458468,Titres de l'État
Mean_Variance_lambda_5,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384954760089892,Titres de l'État
Mean_Variance_lambda_10,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384955249645197,Titres de l'État
Mean_Variance_lambda_20,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384955097669565,Titres de l'État
Max_Sharpe,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.043849659669658876,Titres de l'État
Max_Return,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384953850972766,Titres de l'État
Mean_CVaR_95,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384954951769748,Titres de l'État
Risk_Parity,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04385344912235694,Titres de l'État
MeanVariance_TurnoverPenalty,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.04384954791311202,Titres de l'État
