portfolio_name,constraint_id,constraint_name,origin,exposure_value,threshold_value,margin_value,margin_pct,status,severity,implementation_status,comment
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BT,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BT,LEGAL_REGULATORY,22939746.424876533,26116404.433557004,3176658.0086804703,0.012163458475925492,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::CITY_CARS,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::CITY_CARS,LEGAL_REGULATORY,15137351.562482381,26116404.433557004,10979052.871074622,0.04203891427323595,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::DELICE_HOLDING,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::DELICE_HOLDING,LEGAL_REGULATORY,7963173.87810254,26116404.433557004,18153230.555454463,0.06950891958208977,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ENNAKL,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ENNAKL,LEGAL_REGULATORY,2.5375844205203277,26116404.433557004,26116401.895972583,0.09999999028356132,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::PGH,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::PGH,LEGAL_REGULATORY,12846791.613494512,26116404.433557004,13269612.820062492,0.050809493526652344,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,CAPITAL_SOCIAL_LIMITS,Limites en pourcentage du capital social,UNTESTED_MISSING_DATA,,,-0.0,-0.0,NOT_TESTED_DATA_MISSING,WARNING,CHECK_NOT_ENFORCED_MISSING_DATA,Contrainte non testée faute de données détaillées ; elle n’est pas assimilée à une conformité.
Mean_Variance_lambda_10,OPCVM_ENTITY_LIMITS,OPCVM par entité,UNTESTED_MISSING_DATA,,,-0.0,-0.0,NOT_TESTED_DATA_MISSING,WARNING,CHECK_NOT_ENFORCED_MISSING_DATA,Contrainte non testée faute de données détaillées ; elle n’est pas assimilée à une conformité.
Mean_Variance_lambda_10,SICAR_ENTITY_LIMITS,SICAR/SICAF par société,UNTESTED_MISSING_DATA,,,-0.0,-0.0,NOT_TESTED_DATA_MISSING,WARNING,CHECK_NOT_ENFORCED_MISSING_DATA,Contrainte non testée faute de données détaillées ; elle n’est pas assimilée à une conformité.
Mean_Variance_lambda_10,OTHER_SECURITIES_LIMITS,Autres valeurs mobilières,UNTESTED_MISSING_DATA,,,-0.0,-0.0,NOT_TESTED_DATA_MISSING,WARNING,CHECK_NOT_ENFORCED_MISSING_DATA,Contrainte non testée faute de données détaillées ; elle n’est pas assimilée à une conformité.
Mean_Variance_lambda_10,INTERNAL_NO_SHORT_SELLING,Absence de vente à découvert,INTERNAL_GOVERNANCE,7.669548548501065e-09,0.0,7.669548548501065e-09,,OK,INFO,INTERNAL_LIMIT,Contrôle interne appliqué à la poche optimisable.
Mean_Variance_lambda_10,INTERNAL_FULL_INVESTMENT,Somme des poids optimisables égale à 100%,INTERNAL_GOVERNANCE,1.0,1.0,1.0,,OK,INFO,INTERNAL_LIMIT,Contrôle interne appliqué à la poche optimisable.
Mean_Variance_lambda_10,INTERNAL_TURNOVER_MAX_30,Turnover maximum de gouvernance,INTERNAL_GOVERNANCE,0.2999999731214063,0.3,2.687859368410983e-08,,OK,INFO,INTERNAL_LIMIT,"Limite interne de réallocation, non réglementaire."
Mean_Variance_lambda_10,INTERNAL_MAX_ASSET_WEIGHT,Poids maximum par actif,INTERNAL_GOVERNANCE,0.29999999953528544,0.3,4.6471454462349016e-10,,OK,INFO,INTERNAL_LIMIT,"Limite interne de concentration, non réglementaire."
Mean_Variance_lambda_20,COVERAGE_GLOBAL,Couverture globale des provisions techniques,LEGAL_REGULATORY,509032582.0402451,261164044.33557004,247868537.70467508,0.9490913587866959,OK,INFO,ENFORCED,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,STATE_MIN_20_PT,Titres émis ou garantis par l'État >= 20% PT,LEGAL_REGULATORY,114927788.58294953,52232808.86711401,62694979.71583553,0.24005976732110437,OK,INFO,ENFORCED,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,REAL_ESTATE_TOTAL_MAX_20_PT,Immobilier total <= 20% PT,LEGAL_REGULATORY,25860875.370495003,52232808.86711401,26371933.496619005,0.10097842359468776,OK,INFO,POST_CHECK,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,SICAR_TOTAL_MAX_10_PT,SICAR/SICAF total <= 10% PT,LEGAL_REGULATORY,5215648.67154,26116404.433557004,20900755.762017004,0.08002922383588759,OK,INFO,POST_CHECK,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,LEGAL_REGULATORY,7042403.684120648,26116404.433557004,19074000.749436356,0.0730345587883765,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,LEGAL_REGULATORY,5382840.730799308,26116404.433557004,20733563.702757694,0.07938904360095263,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_20,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,LEGAL_REGULATORY,2389637.1436681943,26116404.433557004,23726767.28988881,0.09085005307775926,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
