asset_id,asset_name,asset_class,asset_type,issuer,current_weight_optimisable,portfolio_name,current_weight,optimized_weight,weight_change,optimized_value,quality_flag
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.0438495478974024,Mean_Variance_lambda_5,0.0438495478974024,0.04384954760089892,-2.9650348148946293e-10,14508276.221897384,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.0496837556199316,Mean_Variance_lambda_5,0.0496837556199316,0.04968375538401371,-2.3591788939070213e-10,16438610.801943038,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,TN0007310568,0.0099706592583008,Mean_Variance_lambda_5,0.0099706592583008,0.009970659353312502,9.50117016312868e-11,3298941.2189360205,OK
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,TN0003100872,0.0190339210105056,Mean_Variance_lambda_5,0.0190339210105056,0.019033921056710475,4.62048767302381e-11,6297656.404347567,OK
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,TNHFN9X6ARP3,0.0286634369917476,Mean_Variance_lambda_5,0.0286634369917476,0.028663437247307327,2.5555972615887157e-10,9483725.324555723,OK
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,TN8DSPQCBC06,0.0084347887863857,Mean_Variance_lambda_5,0.0084347887863857,0.008434788925593831,1.3920813113355024e-10,2790775.6020590663,OK
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,TNL7VQZVHR54,0.4167675090979856,Mean_Variance_lambda_5,0.4167675090979856,0.30000000001921323,-0.11676750907877237,99259470.27920398,OK
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,TNYGOCQ2WZX6,0.0097829647118884,Mean_Variance_lambda_5,0.0097829647118884,0.009782964870472356,1.5858395499557254e-10,3236839.7024698574,OK
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,TNDE9EH7SA12,0.0061743504717015,Mean_Variance_lambda_5,0.0061743504717015,0.006174350571051504,9.935000391814164e-11,2042875.889871409,OK
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,EO_ATL_2025_2,0.0320347547318096,Mean_Variance_lambda_5,0.0320347547318096,0.032034755034278745,3.0246914695108984e-10,10599176.050076423,OK
AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,AMEN_BANK,0.0212848204226004,Mean_Variance_lambda_5,0.0212848204226004,0.02128482207279467,1.6501942728952557e-09,7042400.545991334,OK
