portfolio_name,asset_id,asset_name,asset_class,asset_type,weight,marginal_risk_contribution,risk_contribution,risk_contribution_pct
Mean_Variance_lambda_2,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.2999999983698189,0.0002144894896029868,6.434684653123932e-05,0.002079205746776755
Mean_Variance_lambda_2,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.009782963510743948,6.816171309674074e-05,6.668235520552125e-07,2.154671807959045e-05
Mean_Variance_lambda_2,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.006174348965678824,0.0002931133531233462,1.8097841286837845e-06,5.84786009514523e-05
Mean_Variance_lambda_2,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.03203475398917658,0.00020284207788054978,6.497996063556808e-06,0.00020996632292339052
Mean_Variance_lambda_2,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.02128482342366717,0.05165811340798764,0.0010995338222887904,0.03552865704100003
Mean_Variance_lambda_2,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.01626909136117768,0.10569273528890424,0.0017195247666279515,0.05556209774416953
Mean_Variance_lambda_2,BIAT,BIAT,Actions cotées,listed_equity,0.006709690749864259,0.04450439475655964,0.0002986107258263956,0.009648851041767775
Mean_Variance_lambda_2,BT,BT,Actions cotées,listed_equity,0.07893373980777171,0.1719066828957369,0.013569237378909216,0.4384556176177015
Mean_Variance_lambda_2,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.024115838588536158,0.0474325111990094,0.0011438747839242443,0.03696142317049924
Mean_Variance_lambda_2,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.05240840230643677,0.16353633495818778,0.008570678034208905,0.2769398033180856
Mean_Variance_lambda_2,ENNAKL,ENNAKL,Actions cotées,listed_equity,0.0,-0.02238042325966374,-0.0,-0.0
Mean_Variance_lambda_2,PGH,PGH,Actions cotées,listed_equity,0.03882823325301651,0.11483772524367707,0.004458945982007315,0.14407957204018973
Mean_Variance_lambda_5,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810891809013701,0.00021861515396796307,2.144809623390558e-05,0.0007314743279648787
Mean_Variance_lambda_5,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597390596981,0.0005022367268968915,3.430074639476979e-05,0.001169806175064853
Mean_Variance_lambda_5,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.08741742556678017,-1.1415533693333088e-05,-9.979165669420164e-07,-3.4033339938815186e-05
Mean_Variance_lambda_5,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384954760089892,2.3835630503512045e-05,1.0451816143611896e-06,3.5645285746038574e-05
Mean_Variance_lambda_5,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.04968375538401371,-0.0002704357850108418,-1.3436265389562385e-05,-0.0004582356908978783
Mean_Variance_lambda_5,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.009970659353312502,-0.00027033384664176065,-2.6954066965356185e-06,-9.192521240293801e-05
Mean_Variance_lambda_5,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.019033921056710475,-0.0003137372441319988,-5.971649937358368e-06,-0.0002036595032553765
Mean_Variance_lambda_5,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663437247307327,-0.0002504732313044588,-7.179423747625648e-06,-0.00024484989733810427
