requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-01-22,Current_Portfolio,511340086.36082196,115520852.0356818,41412704.920091584,176238848.27429348,OK,STATE_MIN_20_PT,63288043.16856779
2025-01-23,Current_Portfolio,511703683.62597585,115550862.62482877,41698561.59843379,176286578.27195823,OK,STATE_MIN_20_PT,63318053.75771476
2025-01-24,Current_Portfolio,511967263.68763864,115584434.36329454,41826603.10924028,176388545.08434877,OK,STATE_MIN_20_PT,63351625.496180534
2025-01-27,Current_Portfolio,512198442.62065315,115674312.14311585,41825363.06696562,176531086.2798165,OK,STATE_MIN_20_PT,63441503.27600184
2025-01-28,Current_Portfolio,512225333.80162716,115698247.91750067,41788541.5166369,176570863.23673433,OK,STATE_MIN_20_PT,63465439.05038667
2025-01-29,Current_Portfolio,512555514.12073463,115728979.31345622,42038926.7982252,176619926.87829807,OK,STATE_MIN_20_PT,63496170.446342215
2025-01-30,Current_Portfolio,512230802.62388104,115759019.09696814,41636374.74739489,176667727.6487629,OK,STATE_MIN_20_PT,63526210.22985414
2025-01-31,Current_Portfolio,512508164.7491,115779012.07678488,41828782.02427599,176732689.51728415,OK,STATE_MIN_20_PT,63546203.20967087
2025-02-03,Current_Portfolio,512677811.69313633,115869217.00429887,41764785.388927825,176876128.16915452,OK,STATE_MIN_20_PT,63636408.13718486
2025-02-04,Current_Portfolio,512912193.64384854,115899815.70462802,41918818.75763942,176925878.05082604,OK,STATE_MIN_20_PT,63667006.83751401
2025-02-05,Current_Portfolio,513019506.97562355,115929833.77352196,41948516.49503787,176973475.57630867,OK,STATE_MIN_20_PT,63697024.90640795
2025-02-06,Current_Portfolio,513045734.2969748,115959849.83686355,41897105.905726634,177021097.42362952,OK,STATE_MIN_20_PT,63727040.96974954
2025-02-07,Current_Portfolio,513342732.3861149,115985598.66015597,42180272.99556194,177009179.5996419,OK,STATE_MIN_20_PT,63752789.79304196
2025-02-10,Current_Portfolio,513638608.89193386,116137661.83889186,42115684.56746606,177217581.35482085,OK,STATE_MIN_20_PT,63904852.97177786
2025-02-11,Current_Portfolio,514028703.65002584,116167722.6214177,42427917.32825939,177265382.5695936,OK,STATE_MIN_20_PT,63934913.754303694
2025-02-12,Current_Portfolio,514054237.0102432,116187264.86169887,42393627.756128564,177305663.26166064,OK,STATE_MIN_20_PT,63954455.99458486
2025-02-13,Current_Portfolio,514158877.42760235,116211892.31642629,42442900.778853334,177336403.20156768,OK,STATE_MIN_20_PT,63979083.449312285
2025-02-14,Current_Portfolio,514355185.8185747,116241939.0467244,42584215.4364811,177361350.20461413,OK,STATE_MIN_20_PT,64009130.17961039
2025-02-17,Current_Portfolio,514402472.1429877,116337725.7785784,42375611.71368174,177521453.51997244,OK,STATE_MIN_20_PT,64104916.91146439
2025-02-18,Current_Portfolio,514666391.3964578,116362350.17210257,42584039.91385709,177552320.17974305,OK,STATE_MIN_20_PT,64129541.30498856
2025-02-19,Current_Portfolio,514987544.25016075,116400995.5527469,42817733.504343465,177601134.06231532,OK,STATE_MIN_20_PT,64168186.6856329
2025-02-20,Current_Portfolio,515038267.2950846,116431142.4696203,42790406.90800288,177649036.7867063,OK,STATE_MIN_20_PT,64198333.602506295
2025-02-21,Current_Portfolio,515447699.4116728,116458700.44896728,43130626.447429426,177690691.38452092,OK,STATE_MIN_20_PT,64225891.58185327
2025-02-24,Current_Portfolio,515771337.0308685,116488740.84144762,43334540.01859382,177780375.04007193,OK,STATE_MIN_20_PT,64255931.974333614
2025-02-25,Current_Portfolio,515818474.46398574,116486434.74040815,43350262.55262918,177814096.04019332,OK,STATE_MIN_20_PT,64253625.873294145
2025-02-26,Current_Portfolio,516396082.48791707,116517018.3146787,43849770.640834495,177861612.40164876,OK,STATE_MIN_20_PT,64284209.44756469
2025-02-27,Current_Portfolio,517015454.0014383,116553230.53164642,44385698.15496887,177908844.1840678,OK,STATE_MIN_20_PT,64320421.66453241
2025-02-28,Current_Portfolio,516794959.59629065,116583415.9440482,44086920.607968,177956941.91351932,OK,STATE_MIN_20_PT,64350607.07693419
2025-03-03,Current_Portfolio,517320965.1152018,116668167.10527214,44389592.863750465,178095524.015424,OK,STATE_MIN_20_PT,64435358.23815814
2025-03-04,Current_Portfolio,517471976.24375767,116698794.68182686,44462232.027359,178143268.40381676,OK,STATE_MIN_20_PT,64465985.81471285
2025-03-05,Current_Portfolio,517562350.74609596,116729236.43009502,44474052.00307806,178191381.18216777,OK,STATE_MIN_20_PT,64496427.56298101
2025-03-06,Current_Portfolio,517650753.259069,116759204.62372266,44484619.36517763,178239248.1394136,OK,STATE_MIN_20_PT,64526395.75660865
2025-03-07,Current_Portfolio,517285001.4628301,116789440.26364747,44015212.69721554,178312667.37121198,OK,STATE_MIN_20_PT,64556631.39653346
2025-03-10,Current_Portfolio,518183932.53214926,116870694.86474082,44688193.21611146,178457363.32054186,OK,STATE_MIN_20_PT,64637885.99762681
2025-03-11,Current_Portfolio,517940288.94568807,116901009.33576505,44365881.57206124,178505716.9071066,OK,STATE_MIN_20_PT,64668200.46865104
